,Country,Baseline accuracy,Model accuracy,Model precision,Model recall,Baseline f1 score,Model f1 score,chi-squared,p_value
0,BALGARIJA,0.5411764705882353,0.6176470588235294,0.6238532110091743,0.7391304347826086,0.7022900763358779,0.6766169154228856,2.360655737704918,0.12442987548470714
1,BELGIQUE,0.6708074534161491,0.7639751552795031,0.75,0.9722222222222222,0.8029739776951673,0.846774193548387,9.333333333333334,0.0022502265680857947
2,CESKA_REPUBLIKA,0.5585106382978723,0.6170212765957447,0.6064516129032258,0.8952380952380953,0.7167235494880545,0.7230769230769231,3.0303030303030303,0.08172275229865922
3,DANMARK,0.7435897435897436,0.7628205128205128,0.7762237762237763,0.9568965517241379,0.8529411764705882,0.8571428571428572,0.3076923076923077,0.5790997419539188
4,DEUTSCHLAND_OST,0.6477272727272727,0.6818181818181818,0.6933333333333334,0.9122807017543859,0.7862068965517242,0.7878787878787878,0.3076923076923077,0.5790997419539188
5,DEUTSCHLAND_WEST,0.6086956521739131,0.7391304347826086,0.7333333333333333,0.8979591836734694,0.7567567567567568,0.8073394495412844,9.75609756097561,0.0017872890369872703
6,EESTI,0.6301369863013698,0.6575342465753424,0.7058823529411765,0.782608695652174,0.773109243697479,0.7422680412371134,0.20454545454545456,0.6510766340778343
7,ELLADA,0.6914285714285714,0.7257142857142858,0.7417218543046358,0.9256198347107438,0.8175675675675675,0.8235294117647058,1.0416666666666667,0.30743416592739237
8,ESPANA,0.7987804878048781,0.8292682926829268,0.8456375838926175,0.9618320610687023,0.888135593220339,0.9,1.0666666666666667,0.30169958247834494
9,FRANCE,0.6625,0.63125,0.6556291390728477,0.9339622641509434,0.7969924812030075,0.7704280155642023,1.7777777777777777,0.18242243945173198
10,GREAT_BRITAIN,0.6477987421383647,0.6289308176100629,0.6549295774647887,0.9029126213592233,0.7862595419847328,0.7591836734693878,0.23529411764705882,0.6276258050283593
11,HRVATSKA,0.7606382978723404,0.7180851063829787,0.8125,0.8181818181818182,0.8640483383685801,0.8153310104529616,1.1136363636363635,0.2912928476178098
12,IRELAND,0.6341463414634146,0.6585365853658537,0.6791044776119403,0.875,0.7761194029850745,0.7647058823529411,0.3,0.583882420770365
13,ITALIA,0.7288135593220338,0.7344632768361582,0.8360655737704918,0.7906976744186046,0.8431372549019608,0.8127490039840638,0.0,1.0
14,KYPROS,0.6904761904761905,0.7261904761904762,0.7464788732394366,0.9137931034482759,0.8169014084507042,0.8217054263565892,0.3076923076923077,0.5790997419539188
15,LATVIA,0.639344262295082,0.6010928961748634,0.6486486486486487,0.8205128205128205,0.78,0.7245283018867925,1.0285714285714285,0.31049443431723206
16,LIETUVA,0.5909090909090909,0.7207792207792207,0.6967213114754098,0.9340659340659341,0.7428571428571429,0.7981220657276995,11.28125,0.0007829382178911184
17,LUXEMBOURG,0.7441860465116279,0.7441860465116279,0.7625,0.953125,0.8533333333333333,0.8472222222222222,0.16666666666666666,0.6830913983096086
18,MAGYARORSZAG,0.553072625698324,0.7094972067039106,0.674074074074074,0.9191919191919192,0.7122302158273381,0.7777777777777779,16.568181818181817,4.6931849057715786e-05
19,MALTA,0.6,0.6125,0.6307692307692307,0.8541666666666666,0.7499999999999999,0.7256637168141593,0.0,1.0
20,NEDERLAND,0.7368421052631579,0.7134502923976608,0.7391304347826086,0.9444444444444444,0.8484848484848484,0.8292682926829269,0.9,0.34278171114790873
21,NORTHERN_IRELAND,0.6346153846153846,0.6346153846153846,0.675,0.8181818181818182,0.7764705882352941,0.7397260273972603,0.08333333333333333,0.7728299926844475
22,POLSKA,0.6149425287356322,0.5919540229885057,0.6607142857142857,0.6915887850467289,0.7615658362989323,0.6757990867579908,0.14516129032258066,0.7032029658251817
23,PORTUGAL,0.5857988165680473,0.7159763313609467,0.7217391304347827,0.8383838383838383,0.7388059701492536,0.7757009345794392,8.166666666666666,0.004266724822176128
24,ROMANIA,0.5084745762711864,0.5988700564971752,0.5887850467289719,0.7,0.6741573033707865,0.6395939086294415,3.2142857142857144,0.07299804543011573
25,SLOVENIJA,0.5521472392638037,0.6012269938650306,0.5939849624060151,0.8777777777777778,0.7114624505928855,0.7085201793721972,1.6333333333333333,0.20124262095772028
26,SLOVENSKA_REPUBLIC,0.4463276836158192,0.5480225988700564,0.4962962962962963,0.8481012658227848,0.6171875,0.6261682242990654,6.880952380952381,0.008711912962379598
27,SUOMI,0.5266666666666666,0.58,0.5606060606060606,0.9367088607594937,0.6899563318777292,0.7014218009478672,2.7222222222222223,0.09896015401940522
28,SVERIGE,0.8012820512820513,0.7948717948717948,0.8079470198675497,0.976,0.8896797153024911,0.8840579710144927,0.0,1.0
29,Ã–STERREICH,0.6380368098159509,0.7055214723926381,0.71875,0.8846153846153846,0.7790262172284644,0.7931034482758621,2.857142857142857,0.09096894797535765
